,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1575419712,62,-53.16,-70.91,53.6,21.92
1,Upernavik,100,GL,1575419721,82,72.79,-56.15,12.51,6.29
2,Ushuaia,75,AR,1575419694,71,-54.81,-68.31,50.0,27.51
3,Hobart,75,AU,1575419548,35,-42.88,147.33,57.99,25.28
4,Maxixe,1,MZ,1575420013,87,-23.86,35.35,79.52,13.35
5,Victoria,75,BN,1575419569,88,5.28,115.24,78.8,3.78
6,Xiaoweizhai,87,CN,1575420127,73,26.23,107.51,40.06,5.14
7,Sao Gabriel da Cachoeira,100,BR,1575420128,94,-0.13,-67.09,75.07,1.48
8,Mersing,59,MY,1575420129,78,2.43,103.84,81.68,23.26
9,Bredasdorp,91,ZA,1575419667,58,-34.53,20.04,53.6,4.7
10,Nouadhibou,0,MR,1575420131,82,20.93,-17.03,64.4,13.87
11,Port Elizabeth,1,US,1575419961,59,39.31,-74.98,41.0,3.36
12,Cap Malheureux,40,MU,1575420135,78,-19.98,57.61,75.99,10.29
13,Huilong,100,CN,1575420136,62,31.15,106.5,46.71,1.12
14,Vaini,96,IN,1575419645,86,15.34,74.49,66.99,12.77
15,Rikitea,84,PF,1575419661,85,-23.12,-134.97,76.39,15.5
16,Avarua,74,CK,1575419646,78,-21.21,-159.78,80.6,4.7
17,Jeremie,35,HT,1575420140,92,18.65,-74.12,70.54,2.26
18,Carnarvon,5,ZA,1575419708,74,-30.97,22.13,42.58,23.69
19,Sao Filipe,100,CV,1575419784,81,14.9,-24.5,71.91,15.66
20,Goderich,100,CA,1575420143,91,43.74,-81.71,37.0,11.01
21,Na Wa,5,TH,1575420144,72,17.49,104.1,60.8,4.7
22,Sisimiut,100,GL,1575420145,76,66.94,-53.67,11.23,6.67
23,Kabo,61,CF,1575419963,31,7.69,18.62,73.0,2.73
24,Amarante do Maranhao,80,BR,1575420147,64,-5.57,-46.74,80.62,4.99
25,Puerto Baquerizo Moreno,75,EC,1575420149,88,-0.9,-89.6,73.4,11.41
26,Daru,100,PG,1575420150,48,-9.07,143.21,93.6,2.53
27,Port Alfred,51,ZA,1575419707,65,-33.59,26.89,62.01,5.99
28,Baiyin,0,CN,1575420152,77,36.55,104.13,6.8,4.47
29,Lakatoro,81,VU,1575420153,79,-16.11,167.42,86.0,10.29
30,Mahebourg,40,MU,1575419786,78,-20.41,57.7,75.99,10.29
31,Neos Marmaras,100,GR,1575420155,100,40.1,23.78,46.0,13.0
32,Tuktoyaktuk,75,CA,1575419780,83,69.44,-133.03,-9.4,5.82
33,Mackay,90,CA,1575420158,59,53.65,-115.58,33.8,6.93
34,Touros,40,BR,1575420022,78,-5.2,-35.46,80.6,9.17
35,Busselton,37,AU,1575419665,40,-33.64,115.35,79.0,3.0
36,Ossora,100,RU,1575420162,99,59.24,163.07,7.05,26.96
37,Cherskiy,83,RU,1575419650,97,68.75,161.3,-21.32,5.53
38,Nyurba,14,RU,1575420164,93,63.29,118.35,-31.65,6.98
39,Kapit,100,MY,1575420165,96,2.02,112.94,75.04,0.49
40,Pekalongan,0,ID,1575420166,76,-6.89,109.67,80.28,5.48
41,Manicore,35,BR,1575420167,68,-5.81,-61.3,80.46,0.94
42,Butaritari,82,KI,1575419788,75,3.07,172.79,84.16,12.1
43,Albany,1,US,1575419658,67,42.65,-73.75,28.99,9.17
44,Muros,0,ES,1575420171,83,42.77,-9.06,48.99,4.7
45,Shimoda,20,JP,1575420172,66,34.7,138.93,55.4,5.82
46,Isangel,44,VU,1575420173,78,-19.55,169.27,82.4,9.17
47,Kavieng,18,PG,1575420174,64,-2.57,150.8,84.34,3.11
48,Kaitangata,83,NZ,1575420175,43,-46.28,169.85,69.01,14.0
49,Qaanaaq,100,GL,1575419657,76,77.48,-69.36,4.91,6.82
50,Oktyabrskiy,75,RU,1575420177,79,55.61,37.97,28.99,4.47
51,Hurricane,1,US,1575420178,86,37.18,-113.29,52.0,4.7
52,Atuona,19,PF,1575419660,78,-9.8,-139.03,79.57,14.92
53,Cidreira,0,BR,1575419741,70,-30.17,-50.22,69.39,27.89
54,Copiapo,90,CL,1575420028,72,-27.37,-70.33,60.8,10.29
55,Dehloran,86,IR,1575420184,79,32.69,47.27,58.91,2.53
56,Aden,63,YE,1575419942,68,12.79,45.03,76.8,6.46
57,Moussoro,51,TD,1575420186,16,13.64,16.49,73.69,10.83
58,Cape Town,0,ZA,1575419430,54,-33.93,18.42,60.01,31.09
59,Khatanga,0,RU,1575419705,86,71.98,102.47,-27.49,10.09
60,Paamiut,100,GL,1575420189,75,61.99,-49.67,20.16,6.85
61,Cockburn Town,0,TC,1575420190,69,21.46,-71.14,80.49,7.54
62,Hithadhoo,28,MV,1575419778,78,-0.6,73.08,82.76,8.05
63,Iqaluit,20,CA,1575420192,64,63.75,-68.52,-2.2,3.36
64,Broome,1,GB,1575420194,93,52.47,1.45,42.8,5.82
65,Narsaq,8,GL,1575420195,52,60.91,-46.05,17.6,6.93
66,Zavetnoye,100,RU,1575420196,89,47.12,43.89,27.5,13.85
67,Dikson,100,RU,1575419664,87,73.51,80.55,3.04,11.77
68,Petropavlovsk-Kamchatskiy,75,RU,1575420198,92,53.05,158.65,24.8,4.47
69,Kodiak,1,US,1575419682,52,39.95,-94.76,46.99,10.29
70,Hasaki,20,JP,1575419772,44,35.73,140.83,52.0,3.36
71,Barrow,33,AR,1575419795,76,-38.31,-60.23,52.95,3.78
72,Kichera,0,RU,1575420203,52,55.93,110.1,-21.84,8.48
73,Chambas,40,CU,1575420204,83,22.19,-78.91,69.8,5.82
74,Castro,17,CL,1575419759,66,-42.48,-73.76,53.6,11.41
75,Pacific Grove,90,US,1575420193,82,36.62,-121.92,60.8,3.36
76,Georgetown,40,GY,1575419654,94,6.8,-58.16,77.0,4.7
77,Oktyabrskoye,75,RU,1575420208,85,56.73,85.44,23.0,11.18
78,Bandarbeyla,100,SO,1575420209,71,9.49,50.81,77.9,26.31
79,Saint Anthony,90,US,1575420210,92,43.97,-111.68,30.2,1.95
80,Saint George,90,GR,1575419757,81,39.45,22.34,50.0,5.82
81,Ahipara,2,NZ,1575419671,69,-35.17,173.16,82.0,5.48
82,Talakan,100,RU,1575420214,94,50.29,130.28,-10.48,7.76
83,Puerto Ayora,75,EC,1575419746,65,-0.74,-90.35,77.0,12.75
84,Ust-Maya,100,RU,1575420047,92,60.42,134.54,-27.08,4.59
85,Thompson,75,CA,1575419744,85,55.74,-97.86,10.4,5.82
86,Kifri,97,IQ,1575420218,79,34.69,44.96,57.34,6.42
87,Severo-Kurilsk,71,RU,1575420038,74,50.68,156.12,22.66,14.34
88,Jamestown,40,AU,1575419687,35,-33.21,138.6,67.06,6.4
89,Saint-Philippe,75,CA,1575420221,63,45.36,-73.48,30.0,8.05
90,Tchibanga,86,GA,1575420223,97,-2.92,11.0,72.39,0.65
91,Bluff,20,AU,1575419656,15,-23.58,149.07,90.16,15.43
92,Arraial do Cabo,75,BR,1575419713,78,-22.97,-42.02,71.6,4.7
93,Imbituba,40,BR,1575420226,68,-28.24,-48.67,71.6,5.82
94,Gamboma,56,CG,1575420227,88,-1.87,15.88,70.68,1.61
95,Coos Bay,1,US,1575419693,76,43.37,-124.22,55.99,1.36
96,Flin Flon,90,CA,1575420229,85,54.77,-101.88,19.4,2.24
97,Baixa Grande,100,BR,1575420230,76,-11.96,-40.17,76.48,11.18
98,Russkaya Polyana,1,RU,1575420231,93,53.78,73.88,9.63,2.98
99,East London,75,ZA,1575419964,72,-33.02,27.91,61.21,16.08
100,Awbari,92,LY,1575420233,24,26.59,12.77,65.8,8.1
101,Vila Velha,20,BR,1575420235,74,-3.71,-38.6,82.4,9.17
102,Kapaa,90,US,1575419668,74,22.08,-159.32,80.6,12.75
103,Labuhan,77,ID,1575420237,84,-2.54,115.51,79.21,2.15
104,Rock Springs,1,US,1575420091,80,41.59,-109.2,30.2,12.75
105,Ribeira Grande,98,PT,1575419777,71,38.52,-28.7,57.99,13.47
106,Bethel,1,US,1575419665,77,60.79,-161.76,8.6,8.05
107,Mar del Plata,41,AR,1575419789,60,-46.43,-67.52,54.97,8.12
108,Mataura,52,NZ,1575419731,83,-46.19,168.86,55.0,11.01
109,Vanimo,92,PG,1575419993,77,-2.67,141.3,81.73,3.76
110,Villa Rica,75,CO,1575420245,69,3.18,-76.46,75.2,6.93
111,Isoka,62,ZM,1575420246,92,-10.15,32.64,64.44,2.68
112,Naze,100,NG,1575420247,90,5.43,7.07,75.69,3.22
113,Pevek,100,RU,1575419704,80,69.7,170.27,6.55,5.06
114,Mogzon,41,RU,1575420249,98,51.74,111.97,-17.28,2.66
115,Bubaque,59,GW,1575419971,59,11.28,-15.83,83.17,10.74
116,Jangipur,5,IN,1575420251,44,24.46,88.11,61.74,5.19
117,Ancud,0,CL,1575419988,66,-41.87,-73.83,53.6,11.41
118,Lagoa,0,PT,1575420032,76,37.14,-8.45,51.8,5.82
119,Chuy,84,UY,1575419991,61,-33.69,-53.46,66.07,10.47
120,Ostrovnoy,98,RU,1575420256,99,68.05,39.51,13.89,10.67
121,Geraldton,90,CA,1575419951,79,49.72,-86.95,24.8,2.24
122,Tasiilaq,84,GL,1575419730,79,65.61,-37.64,28.4,4.7
123,Bonavista,100,CA,1575420259,85,48.65,-53.11,37.0,7.0
124,Yumen,22,CN,1575420260,63,40.29,97.04,17.53,10.71
125,Beringovskiy,78,RU,1575419992,97,63.05,179.32,0.19,13.62
126,Kabanjahe,75,ID,1575420263,100,3.1,98.49,77.0,3.36
127,New Norfolk,75,AU,1575419729,35,-42.78,147.06,57.99,25.28
128,College,90,US,1575420265,84,64.86,-147.8,8.6,2.68
129,Farah,0,AF,1575420266,38,32.37,62.11,53.8,6.42
130,Yellowknife,75,CA,1575419523,77,62.45,-114.38,1.4,13.87
131,Lahat,99,ID,1575420268,96,-3.78,103.55,69.6,1.01
132,Ponta do Sol,94,BR,1575420021,90,-20.63,-46.0,67.55,6.73
133,Esperance,60,AU,1575419735,32,-33.86,121.89,84.2,23.04
134,Te Anau,100,NZ,1575419673,88,-45.41,167.72,48.16,7.36
135,Lavrentiya,53,RU,1575420273,81,65.58,-170.99,15.28,8.93
136,Utiel,75,ES,1575420274,82,39.57,-1.21,55.4,14.99
137,Walla Walla,1,US,1575420275,70,46.06,-118.33,36.0,6.93
138,Beloha,0,MG,1575420171,58,-25.17,45.06,76.08,5.32
139,Brae,83,GB,1575420277,87,60.4,-1.35,46.4,14.99
140,Daloa,98,CI,1575420278,60,6.88,-6.45,80.04,4.03
